[01:00:00.000000000] (+?.?????????) 0 dump_start:
[01:00:00.000000000] (+0.000000000) 0 dump_stop:
[01:00:00.000000000] (+0.000000000) 0 dump_start:
[01:00:00.000000000] (+0.000000000) 0 dump_stop:
[01:00:00.000077619] (+0.000077619) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:00.000183142] (+0.000105523) 0 thread_create: { thread_id = 3, name = "lpwork" }
[01:00:00.000211238] (+0.000028096) 0 dump_start:
[01:00:00.000703619] (+0.000492381) 0 dump_stop:
[01:00:00.000939809] (+0.000236190) 0 thread_create: { thread_id = 5, name = "init" }
[01:00:02.033491047] (+0.000010190) 0 function_usage: { pid = 5, func_ptr = 0x8005C55, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.033501428] (+0.000010381) 0 function_usage: { pid = 5, func_ptr = 0x8005B6D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.033519333] (+0.000017905) 0 function_usage: { pid = 5, func_ptr = 0x8005B6D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.033529238] (+0.000009905) 0 function_usage: { pid = 5, func_ptr = 0x8005BE1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.033570380] (+0.000041142) 0 dump_start:
[01:00:02.036262952] (+0.002692572) 0 dump_stop:
[01:00:02.449888761] (+0.413625809) 0 function_usage: { pid = 5, func_ptr = 0x8005BE1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.449906571] (+0.000017810) 0 function_usage: { pid = 5, func_ptr = 0x8005C29, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.449916476] (+0.000009905) 0 function_usage: { pid = 5, func_ptr = 0x8005C29, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.449926666] (+0.000010190) 0 function_usage: { pid = 5, func_ptr = 0x8005BA1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.449946285] (+0.000019619) 0 function_usage: { pid = 5, func_ptr = 0x8005BA1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.449956380] (+0.000010095) 0 function_usage: { pid = 5, func_ptr = 0x8005BE1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.449994476] (+0.000038096) 0 dump_start:
[01:00:02.450767047] (+0.000772571) 0 dump_stop:
[01:00:02.465326761] (+0.014559714) 0 function_usage: { pid = 5, func_ptr = 0x8005BE1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.465344666] (+0.000017905) 0 function_usage: { pid = 5, func_ptr = 0x8005C29, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.465354476] (+0.000009810) 0 function_usage: { pid = 5, func_ptr = 0x8005C29, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.465364476] (+0.000010000) 0 function_usage: { pid = 5, func_ptr = 0x8005BA1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.465384000] (+0.000019524) 0 function_usage: { pid = 5, func_ptr = 0x8005BA1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.465394285] (+0.000010285) 0 function_usage: { pid = 5, func_ptr = 0x8005BE1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.465432000] (+0.000037715) 0 dump_start:
[01:00:02.466204380] (+0.000772380) 0 dump_stop:
[01:00:02.825719428] (+0.359515048) 0 function_usage: { pid = 5, func_ptr = 0x8005BE1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.825737142] (+0.000017714) 0 function_usage: { pid = 5, func_ptr = 0x8005BA1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.825756666] (+0.000019524) 0 function_usage: { pid = 5, func_ptr = 0x8005BA1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.825766857] (+0.000010191) 0 function_usage: { pid = 5, func_ptr = 0x8005B6D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.825791714] (+0.000024857) 0 function_usage: { pid = 5, func_ptr = 0x8005B6D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.825801714] (+0.000010000) 0 function_usage: { pid = 5, func_ptr = 0x8005BE1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.825839714] (+0.000038000) 0 dump_start:
[01:00:02.826612285] (+0.000772571) 0 dump_stop:
[01:00:02.961450857] (+0.134838572) 0 function_usage: { pid = 5, func_ptr = 0x8005BE1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.961468571] (+0.000017714) 0 function_usage: { pid = 5, func_ptr = 0x8005BA1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.961488000] (+0.000019429) 0 function_usage: { pid = 5, func_ptr = 0x8005BA1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.961498190] (+0.000010190) 0 function_usage: { pid = 5, func_ptr = 0x8005B6D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.961523142] (+0.000024952) 0 function_usage: { pid = 5, func_ptr = 0x8005B6D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.961533238] (+0.000010096) 0 function_usage: { pid = 5, func_ptr = 0x8005BE1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.961567523] (+0.000034285) 0 dump_start:
[01:00:02.962343619] (+0.000776096) 0 dump_stop:
[01:00:03.298005714] (+0.335662095) 0 function_usage: { pid = 5, func_ptr = 0x8005BE1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.298023619] (+0.000017905) 0 function_usage: { pid = 5, func_ptr = 0x8005C29, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.298033523] (+0.000009904) 0 function_usage: { pid = 5, func_ptr = 0x8005C29, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.298043714] (+0.000010191) 0 function_usage: { pid = 5, func_ptr = 0x8005BA1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.298063047] (+0.000019333) 0 function_usage: { pid = 5, func_ptr = 0x8005BA1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.298073428] (+0.000010381) 0 function_usage: { pid = 5, func_ptr = 0x8005BE1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.298111142] (+0.000037714) 0 dump_start:
[01:00:03.298883619] (+0.000772477) 0 dump_stop:
[01:00:03.465968476] (+0.167084857) 0 function_usage: { pid = 5, func_ptr = 0x8005BE1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.465986380] (+0.000017904) 0 function_usage: { pid = 5, func_ptr = 0x8005C29, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.465996285] (+0.000009905) 0 function_usage: { pid = 5, func_ptr = 0x8005C29, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.466006476] (+0.000010191) 0 function_usage: { pid = 5, func_ptr = 0x8005BA1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.466025904] (+0.000019428) 0 function_usage: { pid = 5, func_ptr = 0x8005BA1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.466040571] (+0.000014667) 0 function_usage: { pid = 5, func_ptr = 0x8005BE1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.466074857] (+0.000034286) 0 dump_start:
[01:00:03.466846952] (+0.000772095) 0 dump_stop:
[01:00:03.577945714] (+0.111098762) 0 function_usage: { pid = 5, func_ptr = 0x8005BE1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.577963428] (+0.000017714) 0 function_usage: { pid = 5, func_ptr = 0x8005C29, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.577973333] (+0.000009905) 0 function_usage: { pid = 5, func_ptr = 0x8005C29, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.577983523] (+0.000010190) 0 function_usage: { pid = 5, func_ptr = 0x8005BA1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.578003047] (+0.000019524) 0 function_usage: { pid = 5, func_ptr = 0x8005BA1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.578017714] (+0.000014667) 0 function_usage: { pid = 5, func_ptr = 0x8005BE1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.578052000] (+0.000034286) 0 dump_start:
[01:00:03.578824380] (+0.000772380) 0 dump_stop:
[01:00:03.705820761] (+0.126996381) 0 function_usage: { pid = 5, func_ptr = 0x8005BE1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:03.705838761] (+0.000018000) 0 function_usage: { pid = 5, func_ptr = 0x8005C29, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:03.705848666] (+0.000009905) 0 function_usage: { pid = 5, func_ptr = 0x8005C29, fe = ( "FUNCTION_EXIT" : container = 1 ) }
