[01:00:00.000256190] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:00.000390285] (+0.000134095) 0 thread_create: { thread_id = 3, name = "lpwork" }
[01:00:00.003429333] (+0.003039048) 0 thread_create: { thread_id = 5, name = "init" }
[01:00:01.765744380] (+0.231750952) 0 function_usage: { pid = 5, func_ptr = 0x8006BF1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.765762666] (+0.000018286) 0 function_usage: { pid = 5, func_ptr = 0x8006C39, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:01.765772857] (+0.000010191) 0 function_usage: { pid = 5, func_ptr = 0x8006C39, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.765783333] (+0.000010476) 0 function_usage: { pid = 5, func_ptr = 0x8006BB1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:01.765803238] (+0.000019905) 0 function_usage: { pid = 5, func_ptr = 0x8006BB1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.765813809] (+0.000010571) 0 function_usage: { pid = 5, func_ptr = 0x8006BF1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:01.893084857] (+0.127271048) 0 function_usage: { pid = 5, func_ptr = 0x8006BF1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.893102952] (+0.000018095) 0 function_usage: { pid = 5, func_ptr = 0x8006C39, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:01.893113047] (+0.000010095) 0 function_usage: { pid = 5, func_ptr = 0x8006C39, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.893123714] (+0.000010667) 0 function_usage: { pid = 5, func_ptr = 0x8006BB1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:01.893143619] (+0.000019905) 0 function_usage: { pid = 5, func_ptr = 0x8006BB1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.893154476] (+0.000010857) 0 function_usage: { pid = 5, func_ptr = 0x8006BF1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:01.985546000] (+0.092391524) 0 function_usage: { pid = 5, func_ptr = 0x8006BF1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.985556761] (+0.000010761) 0 function_usage: { pid = 5, func_ptr = 0x8006C39, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:01.985566952] (+0.000010191) 0 function_usage: { pid = 5, func_ptr = 0x8006C39, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.985577428] (+0.000010476) 0 function_usage: { pid = 5, func_ptr = 0x8006BB1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:01.985597333] (+0.000019905) 0 function_usage: { pid = 5, func_ptr = 0x8006BB1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.985608000] (+0.000010667) 0 function_usage: { pid = 5, func_ptr = 0x8006BF1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.087052952] (+0.101444952) 0 function_usage: { pid = 5, func_ptr = 0x8006BF1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.087071238] (+0.000018286) 0 function_usage: { pid = 5, func_ptr = 0x8006C39, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.087081333] (+0.000010095) 0 function_usage: { pid = 5, func_ptr = 0x8006C39, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.087091904] (+0.000010571) 0 function_usage: { pid = 5, func_ptr = 0x8006BB1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.087111714] (+0.000019810) 0 function_usage: { pid = 5, func_ptr = 0x8006BB1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.087122476] (+0.000010762) 0 function_usage: { pid = 5, func_ptr = 0x8006BF1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.177965619] (+0.090843143) 0 function_usage: { pid = 5, func_ptr = 0x8006BF1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.177976285] (+0.000010666) 0 function_usage: { pid = 5, func_ptr = 0x8006C39, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.177986476] (+0.000010191) 0 function_usage: { pid = 5, func_ptr = 0x8006C39, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.177996952] (+0.000010476) 0 function_usage: { pid = 5, func_ptr = 0x8006BB1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.178016857] (+0.000019905) 0 function_usage: { pid = 5, func_ptr = 0x8006BB1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.178027523] (+0.000010666) 0 function_usage: { pid = 5, func_ptr = 0x8006BF1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.255813809] (+0.077786286) 0 function_usage: { pid = 5, func_ptr = 0x8006BF1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.255832190] (+0.000018381) 0 function_usage: { pid = 5, func_ptr = 0x8006BB1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.255856380] (+0.000024190) 0 function_usage: { pid = 5, func_ptr = 0x8006BB1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.255867047] (+0.000010667) 0 function_usage: { pid = 5, func_ptr = 0x8006C65, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.255877428] (+0.000010381) 0 function_usage: { pid = 5, func_ptr = 0x8006B1D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.255888190] (+0.000010762) 0 function_usage: { pid = 5, func_ptr = 0x80079A5, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.255902380] (+0.000014190) 0 function_usage: { pid = 5, func_ptr = 0x8007791, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.255915809] (+0.000013429) 0 function_usage: { pid = 5, func_ptr = 0x8006F5D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.255930000] (+0.000014191) 0 function_usage: { pid = 5, func_ptr = 0x8006F25, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.255940285] (+0.000010285) 0 function_usage: { pid = 5, func_ptr = 0x8006F25, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.255950857] (+0.000010572) 0 function_usage: { pid = 5, func_ptr = 0x8006F5D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.255961333] (+0.000010476) 0 function_usage: { pid = 5, func_ptr = 0x8007021, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.255972761] (+0.000011428) 0 function_usage: { pid = 5, func_ptr = 0x8007021, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.255983428] (+0.000010667) 0 function_usage: { pid = 5, func_ptr = 0x8007285, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.255995047] (+0.000011619) 0 function_usage: { pid = 5, func_ptr = 0x8007285, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.256005714] (+0.000010667) 0 function_usage: { pid = 5, func_ptr = 0x8007475, fe = ( "FUNCTION_ENTER" : container = 0 ) }
