[01:00:00.000235142] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:00.000496857] (+0.000261715) 0 thread_create: { thread_id = 3, name = "lpwork" }
[01:00:00.003691809] (+0.003194952) 0 thread_create: { thread_id = 5, name = "init" }
[01:00:02.545752285] (+0.000017714) 0 function_usage: { pid = 5, func_ptr = 0x8006C49, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.545762476] (+0.000010191) 0 function_usage: { pid = 5, func_ptr = 0x8006C91, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.545772095] (+0.000009619) 0 function_usage: { pid = 5, func_ptr = 0x8006C91, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.545782000] (+0.000009905) 0 function_usage: { pid = 5, func_ptr = 0x8006C09, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.545801047] (+0.000019047) 0 function_usage: { pid = 5, func_ptr = 0x8006C09, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.545811238] (+0.000010191) 0 function_usage: { pid = 5, func_ptr = 0x8006C49, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.545841047] (+0.000029809) 0 function_usage: { pid = 5, func_ptr = 0x8006C49, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.545851428] (+0.000010381) 0 function_usage: { pid = 5, func_ptr = 0x8006C91, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.545861142] (+0.000009714) 0 function_usage: { pid = 5, func_ptr = 0x8006C91, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.545871333] (+0.000010191) 0 function_usage: { pid = 5, func_ptr = 0x8006C09, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.545890380] (+0.000019047) 0 function_usage: { pid = 5, func_ptr = 0x8006C09, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.545900761] (+0.000010381) 0 function_usage: { pid = 5, func_ptr = 0x8006C49, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.545918095] (+0.000017334) 0 function_usage: { pid = 5, func_ptr = 0x8006C49, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.545928380] (+0.000010285) 0 function_usage: { pid = 5, func_ptr = 0x8006C91, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.545938190] (+0.000009810) 0 function_usage: { pid = 5, func_ptr = 0x8006C91, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.545948380] (+0.000010190) 0 function_usage: { pid = 5, func_ptr = 0x8006C09, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.545967333] (+0.000018953) 0 function_usage: { pid = 5, func_ptr = 0x8006C09, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.545977333] (+0.000010000) 0 function_usage: { pid = 5, func_ptr = 0x8006C49, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.546010380] (+0.000033047) 0 function_usage: { pid = 5, func_ptr = 0x8006C49, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.546020571] (+0.000010191) 0 function_usage: { pid = 5, func_ptr = 0x8006C91, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.546030190] (+0.000009619) 0 function_usage: { pid = 5, func_ptr = 0x8006C91, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.546040095] (+0.000009905) 0 function_usage: { pid = 5, func_ptr = 0x8006C09, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.546059142] (+0.000019047) 0 function_usage: { pid = 5, func_ptr = 0x8006C09, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.546069238] (+0.000010096) 0 function_usage: { pid = 5, func_ptr = 0x8006C49, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.546099047] (+0.000029809) 0 function_usage: { pid = 5, func_ptr = 0x8006C49, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.546109428] (+0.000010381) 0 function_usage: { pid = 5, func_ptr = 0x8006C91, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.546119142] (+0.000009714) 0 function_usage: { pid = 5, func_ptr = 0x8006C91, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.546129333] (+0.000010191) 0 function_usage: { pid = 5, func_ptr = 0x8006C09, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.546148380] (+0.000019047) 0 function_usage: { pid = 5, func_ptr = 0x8006C09, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.546158476] (+0.000010096) 0 function_usage: { pid = 5, func_ptr = 0x8006C49, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.546188095] (+0.000029619) 0 function_usage: { pid = 5, func_ptr = 0x8006C49, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.546198476] (+0.000010381) 0 function_usage: { pid = 5, func_ptr = 0x8006C91, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.546208190] (+0.000009714) 0 function_usage: { pid = 5, func_ptr = 0x8006C91, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.546218190] (+0.000010000) 0 function_usage: { pid = 5, func_ptr = 0x8006C09, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.546237047] (+0.000018857) 0 function_usage: { pid = 5, func_ptr = 0x8006C09, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.546247238] (+0.000010191) 0 function_usage: { pid = 5, func_ptr = 0x8006C49, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.546276952] (+0.000029714) 0 function_usage: { pid = 5, func_ptr = 0x8006C49, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.546287142] (+0.000010190) 0 function_usage: { pid = 5, func_ptr = 0x8006C91, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.563543809] (+0.017256667) 0 function_usage: { pid = 15, func_ptr = 0x800BED5, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.563565047] (+0.000021238) 0 function_usage: { pid = 15, func_ptr = 0x800E23D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.563586476] (+0.000021429) 0 function_usage: { pid = 15, func_ptr = 0x800C12D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.563596190] (+0.000009714) 0 function_usage: { pid = 15, func_ptr = 0x800C015, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.563605904] (+0.000009714) 0 function_usage: { pid = 15, func_ptr = 0x800C015, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.563616000] (+0.000010096) 0 function_usage: { pid = 15, func_ptr = 0x800C015, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.563625809] (+0.000009809) 0 function_usage: { pid = 15, func_ptr = 0x800C015, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.563635904] (+0.000010095) 0 function_usage: { pid = 15, func_ptr = 0x800C015, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.563645809] (+0.000009905) 0 function_usage: { pid = 15, func_ptr = 0x800C015, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.563655619] (+0.000009810) 0 function_usage: { pid = 15, func_ptr = 0x800C015, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.563665333] (+0.000009714) 0 function_usage: { pid = 15, func_ptr = 0x800C015, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.563675238] (+0.000009905) 0 function_usage: { pid = 15, func_ptr = 0x800C12D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.563685238] (+0.000010000) 0 function_usage: { pid = 15, func_ptr = 0x80297D5, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.563695333] (+0.000010095) 0 function_usage: { pid = 15, func_ptr = 0x80296E1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.563729238] (+0.000033905) 0 function_usage: { pid = 15, func_ptr = 0x80296E1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.563738952] (+0.000009714) 0 function_usage: { pid = 15, func_ptr = 0x80297D5, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.563757047] (+0.000018095) 0 function_usage: { pid = 15, func_ptr = 0x800E23D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.563767523] (+0.000010476) 0 function_usage: { pid = 15, func_ptr = 0x800BED5, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.563840857] (+0.000073334) 0 function_usage: { pid = 14, func_ptr = 0x800A325, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.563850761] (+0.000009904) 0 function_usage: { pid = 14, func_ptr = 0x8006DA9, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.563860952] (+0.000010191) 0 function_usage: { pid = 14, func_ptr = 0x8006DA9, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.563870857] (+0.000009905) 0 function_usage: { pid = 14, func_ptr = 0x8007631, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.563880761] (+0.000009904) 0 function_usage: { pid = 14, func_ptr = 0x80077E9, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.563890666] (+0.000009905) 0 function_usage: { pid = 14, func_ptr = 0x80079FD, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.563903238] (+0.000012572) 0 function_usage: { pid = 14, func_ptr = 0x8006AB1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.563913047] (+0.000009809) 0 function_usage: { pid = 14, func_ptr = 0x8006A85, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.563922761] (+0.000009714) 0 function_usage: { pid = 14, func_ptr = 0x80068AD, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.563935333] (+0.000012572) 0 function_usage: { pid = 14, func_ptr = 0x80068AD, fe = ( "FUNCTION_EXIT" : container = 1 ) }
