[01:00:00.000086761] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:04.269672380] (+0.088035428) 0 stack_usage: { pid = 5, func_ptr = 0x8006A0D, usage_bytes = 248 }
[01:00:04.269691714] (+0.000019334) 0 stack_usage: { pid = 5, func_ptr = 0x8006985, usage_bytes = 256 }
[01:00:04.269713333] (+0.000021619) 0 stack_usage: { pid = 5, func_ptr = 0x80069C5, usage_bytes = 256 }
[01:00:04.382149904] (+0.112436571) 0 stack_usage: { pid = 5, func_ptr = 0x8006A0D, usage_bytes = 248 }
[01:00:04.382170000] (+0.000020096) 0 stack_usage: { pid = 5, func_ptr = 0x8006985, usage_bytes = 256 }
[01:00:04.382192190] (+0.000022190) 0 stack_usage: { pid = 5, func_ptr = 0x80069C5, usage_bytes = 256 }
[01:00:04.421500190] (+0.039308000) 0 stack_usage: { pid = 5, func_ptr = 0x8006A0D, usage_bytes = 248 }
[01:00:04.421520190] (+0.000020000) 0 stack_usage: { pid = 5, func_ptr = 0x8006985, usage_bytes = 256 }
[01:00:04.421542476] (+0.000022286) 0 stack_usage: { pid = 5, func_ptr = 0x80069C5, usage_bytes = 256 }
[01:00:05.070511047] (+0.648968571) 0 stack_usage: { pid = 5, func_ptr = 0x8006985, usage_bytes = 256 }
[01:00:05.070540952] (+0.000029905) 0 stack_usage: { pid = 5, func_ptr = 0x8006951, usage_bytes = 256 }
[01:00:05.070561238] (+0.000020286) 0 stack_usage: { pid = 5, func_ptr = 0x80069C5, usage_bytes = 256 }
[01:00:05.222440095] (+0.151878857) 0 stack_usage: { pid = 5, func_ptr = 0x8006985, usage_bytes = 256 }
[01:00:05.222469904] (+0.000029809) 0 stack_usage: { pid = 5, func_ptr = 0x8006951, usage_bytes = 256 }
[01:00:05.222490285] (+0.000020381) 0 stack_usage: { pid = 5, func_ptr = 0x80069C5, usage_bytes = 256 }
[01:00:05.382694952] (+0.160204667) 0 stack_usage: { pid = 5, func_ptr = 0x8006A0D, usage_bytes = 248 }
[01:00:05.382714952] (+0.000020000) 0 stack_usage: { pid = 5, func_ptr = 0x8006985, usage_bytes = 256 }
[01:00:05.382737333] (+0.000022381) 0 stack_usage: { pid = 5, func_ptr = 0x80069C5, usage_bytes = 256 }
[01:00:05.430172571] (+0.047435238) 0 stack_usage: { pid = 5, func_ptr = 0x8006A0D, usage_bytes = 248 }
[01:00:05.430192571] (+0.000020000) 0 stack_usage: { pid = 5, func_ptr = 0x8006985, usage_bytes = 256 }
[01:00:05.430214857] (+0.000022286) 0 stack_usage: { pid = 5, func_ptr = 0x80069C5, usage_bytes = 256 }
[01:00:05.518206095] (+0.087991238) 0 stack_usage: { pid = 5, func_ptr = 0x8006A0D, usage_bytes = 248 }
[01:00:05.518226095] (+0.000020000) 0 stack_usage: { pid = 5, func_ptr = 0x8006985, usage_bytes = 256 }
[01:00:05.518248285] (+0.000022190) 0 stack_usage: { pid = 5, func_ptr = 0x80069C5, usage_bytes = 256 }
[01:00:05.582018571] (+0.063770286) 0 stack_usage: { pid = 5, func_ptr = 0x8006985, usage_bytes = 256 }
[01:00:05.582049619] (+0.000031048) 0 stack_usage: { pid = 5, func_ptr = 0x8007779, usage_bytes = 160 }
[01:00:05.582070000] (+0.000020381) 0 stack_usage: { pid = 5, func_ptr = 0x8007565, usage_bytes = 304 }
[01:00:05.582084761] (+0.000014761) 0 stack_usage: { pid = 5, func_ptr = 0x8006D31, usage_bytes = 352 }
[01:00:05.582100761] (+0.000016000) 0 stack_usage: { pid = 5, func_ptr = 0x8006CF9, usage_bytes = 376 }
[01:00:05.582113428] (+0.000012667) 0 stack_usage: { pid = 5, func_ptr = 0x8006DF5, usage_bytes = 344 }
[01:00:05.582126952] (+0.000013524) 0 stack_usage: { pid = 5, func_ptr = 0x8007059, usage_bytes = 336 }
[01:00:05.582140476] (+0.000013524) 0 stack_usage: { pid = 5, func_ptr = 0x8007249, usage_bytes = 352 }
[01:00:05.582153047] (+0.000012571) 0 stack_usage: { pid = 5, func_ptr = 0x8006C29, usage_bytes = 320 }
[01:00:05.582164857] (+0.000011810) 0 stack_usage: { pid = 5, func_ptr = 0x8006BAD, usage_bytes = 336 }
[01:00:05.582177047] (+0.000012190) 0 stack_usage: { pid = 5, func_ptr = 0x8006BE5, usage_bytes = 336 }
[01:00:05.582189714] (+0.000012667) 0 stack_usage: { pid = 5, func_ptr = 0x8006D31, usage_bytes = 352 }
[01:00:05.582202285] (+0.000012571) 0 stack_usage: { pid = 5, func_ptr = 0x80073AD, usage_bytes = 368 }
[01:00:05.582214190] (+0.000011905) 0 stack_usage: { pid = 5, func_ptr = 0x800A0A1, usage_bytes = 416 }
