[01:00:00.000209142] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:07.872770761] (+0.000089333) 0 stack_usage: { pid = 6, func_ptr = 0x8019B01, usage_bytes = 888 }
[01:00:07.872860380] (+0.000089619) 0 stack_usage: { pid = 6, func_ptr = 0x8019D41, usage_bytes = 944 }
[01:00:07.872949619] (+0.000089239) 0 stack_usage: { pid = 6, func_ptr = 0x801B0E5, usage_bytes = 984 }
[01:00:07.873038666] (+0.000089047) 0 stack_usage: { pid = 6, func_ptr = 0x801B08D, usage_bytes = 984 }
[01:00:07.873132476] (+0.000093810) 0 stack_usage: { pid = 6, func_ptr = 0x8017205, usage_bytes = 976 }
[01:00:07.873288095] (+0.000155619) 0 stack_usage: { pid = 6, func_ptr = 0x801B0E5, usage_bytes = 984 }
[01:00:07.873377238] (+0.000089143) 0 stack_usage: { pid = 6, func_ptr = 0x801B08D, usage_bytes = 984 }
[01:00:07.873471523] (+0.000094285) 0 stack_usage: { pid = 6, func_ptr = 0x8019B01, usage_bytes = 888 }
[01:00:07.873560952] (+0.000089429) 0 stack_usage: { pid = 6, func_ptr = 0x8019AA9, usage_bytes = 888 }
[01:00:07.873650285] (+0.000089333) 0 stack_usage: { pid = 6, func_ptr = 0x8019B01, usage_bytes = 888 }
[01:00:07.873739904] (+0.000089619) 0 stack_usage: { pid = 6, func_ptr = 0x8019D41, usage_bytes = 944 }
[01:00:07.873829142] (+0.000089238) 0 stack_usage: { pid = 6, func_ptr = 0x801B0E5, usage_bytes = 984 }
[01:00:07.873918190] (+0.000089048) 0 stack_usage: { pid = 6, func_ptr = 0x801B08D, usage_bytes = 984 }
[01:00:07.874012000] (+0.000093810) 0 stack_usage: { pid = 6, func_ptr = 0x8017205, usage_bytes = 976 }
[01:00:07.874167619] (+0.000155619) 0 stack_usage: { pid = 6, func_ptr = 0x801B0E5, usage_bytes = 984 }
[01:00:07.874255619] (+0.000088000) 0 stack_usage: { pid = 6, func_ptr = 0x801B0E5, usage_bytes = 984 }
[01:00:07.874344761] (+0.000089142) 0 stack_usage: { pid = 6, func_ptr = 0x801B08D, usage_bytes = 984 }
[01:00:07.874377428] (+0.000032667) 0 stack_usage: { pid = 6, func_ptr = 0x8013B7D, usage_bytes = 856 }
[01:00:07.874406666] (+0.000029238) 0 stack_usage: { pid = 6, func_ptr = 0x8018231, usage_bytes = 976 }
[01:00:07.874434190] (+0.000027524) 0 stack_usage: { pid = 6, func_ptr = 0x8014065, usage_bytes = 1072 }
[01:00:07.874461714] (+0.000027524) 0 stack_usage: { pid = 6, func_ptr = 0x80156C9, usage_bytes = 1128 }
[01:00:07.874489904] (+0.000028190) 0 stack_usage: { pid = 6, func_ptr = 0x801CB35, usage_bytes = 1104 }
[01:00:07.874521619] (+0.000031715) 0 stack_usage: { pid = 6, func_ptr = 0x80284E1, usage_bytes = 400 }
[01:00:07.874554285] (+0.000032666) 0 stack_usage: { pid = 6, func_ptr = 0x800C6C1, usage_bytes = 728 }
[01:00:07.874580857] (+0.000026572) 0 stack_usage: { pid = 6, func_ptr = 0x802A549, usage_bytes = 848 }
[01:00:07.874609523] (+0.000028666) 0 stack_usage: { pid = 6, func_ptr = 0x801077D, usage_bytes = 808 }
[01:00:07.874636000] (+0.000026477) 0 stack_usage: { pid = 6, func_ptr = 0x801077D, usage_bytes = 808 }
[01:00:07.874679428] (+0.000043428) 0 stack_usage: { pid = 6, func_ptr = 0x800CB01, usage_bytes = 752 }
[01:00:07.874745333] (+0.000065905) 0 stack_usage: { pid = 6, func_ptr = 0x8011139, usage_bytes = 752 }
[01:00:07.874780190] (+0.000034857) 0 stack_usage: { pid = 6, func_ptr = 0x800F3B9, usage_bytes = 880 }
[01:00:07.874830190] (+0.000050000) 0 stack_usage: { pid = 6, func_ptr = 0x80157C9, usage_bytes = 1600 }
[01:00:07.874859142] (+0.000028952) 0 stack_usage: { pid = 6, func_ptr = 0x80156C9, usage_bytes = 1584 }
[01:00:07.874888952] (+0.000029810) 0 stack_usage: { pid = 6, func_ptr = 0x8031C3D, usage_bytes = 1688 }
[01:00:07.874913238] (+0.000024286) 0 stack_usage: { pid = 6, func_ptr = 0x80157C9, usage_bytes = 1784 }
[01:00:07.874928857] (+0.000015619) 0 stack_usage: { pid = 6, func_ptr = 0x8015B0D, usage_bytes = 1608 }
[01:00:07.874957333] (+0.000028476) 0 stack_usage: { pid = 6, func_ptr = 0x8015C15, usage_bytes = 1608 }
[01:00:07.874984761] (+0.000027428) 0 stack_usage: { pid = 6, func_ptr = 0x801C6A1, usage_bytes = 1544 }
[01:00:07.875011809] (+0.000027048) 0 stack_usage: { pid = 6, func_ptr = 0x8013A89, usage_bytes = 1624 }
[01:00:07.875042857] (+0.000031048) 0 stack_usage: { pid = 6, func_ptr = 0x8014745, usage_bytes = 1608 }
[01:00:07.875072285] (+0.000029428) 0 stack_usage: { pid = 6, func_ptr = 0x8032CF1, usage_bytes = 1024 }
[01:00:07.875099428] (+0.000027143) 0 stack_usage: { pid = 6, func_ptr = 0x8015855, usage_bytes = 1144 }
[01:00:07.875128571] (+0.000029143) 0 stack_usage: { pid = 6, func_ptr = 0x8017495, usage_bytes = 952 }
