[01:00:22.489438380] (+0.129196095) 0 function_usage: { pid = 5, func_ptr = 0x80096B5, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.489459714] (+0.000021334) 0 function_usage: { pid = 5, func_ptr = 0x800970D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.489472000] (+0.000012286) 0 function_usage: { pid = 5, func_ptr = 0x800970D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.489484666] (+0.000012666) 0 function_usage: { pid = 5, func_ptr = 0x8009661, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.489507619] (+0.000022953) 0 function_usage: { pid = 5, func_ptr = 0x8009661, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.489520190] (+0.000012571) 0 function_usage: { pid = 5, func_ptr = 0x80096B5, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.629976380] (+0.140456190) 0 function_usage: { pid = 5, func_ptr = 0x80096B5, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.629997619] (+0.000021239) 0 function_usage: { pid = 5, func_ptr = 0x800970D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.630009904] (+0.000012285) 0 function_usage: { pid = 5, func_ptr = 0x800970D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.630022571] (+0.000012667) 0 function_usage: { pid = 5, func_ptr = 0x8009661, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.630045714] (+0.000023143) 0 function_usage: { pid = 5, func_ptr = 0x8009661, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.630058285] (+0.000012571) 0 function_usage: { pid = 5, func_ptr = 0x80096B5, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.740141142] (+0.110082857) 0 function_usage: { pid = 5, func_ptr = 0x80096B5, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.740162476] (+0.000021334) 0 function_usage: { pid = 5, func_ptr = 0x800970D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.740174666] (+0.000012190) 0 function_usage: { pid = 5, func_ptr = 0x800970D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.740187333] (+0.000012667) 0 function_usage: { pid = 5, func_ptr = 0x8009661, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.740210476] (+0.000023143) 0 function_usage: { pid = 5, func_ptr = 0x8009661, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.740223047] (+0.000012571) 0 function_usage: { pid = 5, func_ptr = 0x80096B5, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.872407523] (+0.132184476) 0 function_usage: { pid = 5, func_ptr = 0x80096B5, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.872428857] (+0.000021334) 0 function_usage: { pid = 5, func_ptr = 0x800970D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.872441142] (+0.000012285) 0 function_usage: { pid = 5, func_ptr = 0x800970D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.872453714] (+0.000012572) 0 function_usage: { pid = 5, func_ptr = 0x8009661, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.872477142] (+0.000023428) 0 function_usage: { pid = 5, func_ptr = 0x8009661, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.872489809] (+0.000012667) 0 function_usage: { pid = 5, func_ptr = 0x80096B5, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.986060476] (+0.113570667) 0 function_usage: { pid = 5, func_ptr = 0x80096B5, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.986081809] (+0.000021333) 0 function_usage: { pid = 5, func_ptr = 0x8009661, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.986105809] (+0.000024000) 0 function_usage: { pid = 5, func_ptr = 0x8009661, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.986118190] (+0.000012381) 0 function_usage: { pid = 5, func_ptr = 0x800974D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.986130571] (+0.000012381) 0 function_usage: { pid = 5, func_ptr = 0x800959D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.986143238] (+0.000012667) 0 function_usage: { pid = 5, func_ptr = 0x800A679, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.986160190] (+0.000016952) 0 function_usage: { pid = 5, func_ptr = 0x800A421, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.986175809] (+0.000015619) 0 function_usage: { pid = 5, func_ptr = 0x8009B15, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.986192761] (+0.000016952) 0 function_usage: { pid = 5, func_ptr = 0x8009AC1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.986205238] (+0.000012477) 0 function_usage: { pid = 5, func_ptr = 0x8009AC1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.986217619] (+0.000012381) 0 function_usage: { pid = 5, func_ptr = 0x8009B15, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.986230285] (+0.000012666) 0 function_usage: { pid = 5, func_ptr = 0x8009BF9, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:22.986244095] (+0.000013810) 0 function_usage: { pid = 5, func_ptr = 0x8009BF9, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:22.986256761] (+0.000012666) 0 function_usage: { pid = 5, func_ptr = 0x8009E75, fe = ( "FUNCTION_ENTER" : container = 0 ) }
